GeneID	REP1.B_b	REP1.B_m	REP2.B_b	REP2.B_m	REP3.B_b	REP3.B_m	REP4.B_b	REP4.B_m	REP1.M_b	REP1.M_m	REP2.M_b	REP2.M_m	REP3.M_b	REP3.M_m	REP4.M_b	REP4.M_m	REP1.BM_b	REP1.BM_m	REP2.BM_b	REP2.BM_m	REP3.BM_b	REP3.BM_m	REP4.BM_b	REP4.BM_m	REP1.MB_b	REP1.MB_m	REP2.MB_b	REP2.MB_m	REP3.MB_b	REP3.MB_m	REP4.MB_b	REP4.MB_m	REP1_B.total	REP1_M.total	REP1_BM.total	REP1_MB.total	REP2_B.total	REP2_M.total	REP2_BM.total	REP2_MB.total	REP3_B.total	REP3_M.total	REP3_BM.total	REP3_MB.total	REP4_B.total	REP4_M.total	REP4_BM.total	REP4_MB.total
GRMZM2G130167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	30	19	39	23	33	40	27	15	31	24	29	16	28	22	24
GRMZM2G032905	12	0	15	0	1	0	6	0	0	3	0	4	0	1	0	0	7	0	4	1	1	0	0	0	4	1	7	1	0	2	0	0	33	8	23	19	33	17	20	26	9	10	5	8	10	6	7	6
GRMZM2G003157	10	0	4	0	5	0	1	0	0	6	0	10	0	7	0	3	4	1	5	10	5	0	2	1	8	6	3	5	0	3	2	2	91	126	94	136	87	136	132	129	38	55	46	43	19	47	35	51
GRMZM2G069408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G702811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	1	1
GRMZM2G013581	27	0	17	0	28	0	33	0	0	2	0	0	0	6	0	6	7	4	3	2	13	1	15	7	7	4	17	6	6	1	4	7	301	81	158	163	202	61	103	174	253	92	128	89	294	68	131	203
GRMZM5G842695	9	0	5	0	3	0	6	0	0	0	0	1	1	1	0	0	8	1	8	1	7	0	6	1	5	0	2	0	4	0	3	0	45	23	48	47	47	16	52	33	57	41	51	54	57	32	43	39
GRMZM2G701138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G137289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GRMZM2G141332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	321	294	324	255	296	295	275	222	311	290	287	230	287	274	312
GRMZM2G151459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G074672	74	0	58	0	57	0	71	0	1	40	1	54	0	90	0	63	52	25	44	23	72	54	50	50	54	30	39	26	62	40	51	36	396	566	554	547	369	468	453	424	441	685	736	615	478	606	669	531
GRMZM2G409514	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	2	1	0	0	1	0	0	0	2	0	0	0	15	0	1
AC205104.3_FG003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	0	2	1	2	1	0	0	0	1	0	0
GRMZM2G151425	5	0	6	0	3	1	12	0	1	3	0	5	0	8	0	2	4	3	2	6	3	2	5	2	3	2	4	1	5	1	1	4	173	186	173	178	143	156	205	140	196	199	261	168	277	177	195	206
GRMZM2G445201	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	2	4	3	1	0	6	1	3	0	4	2	2	0	9	6	0
GRMZM2G097738	30	0	36	0	35	0	58	0	0	42	0	39	0	46	0	49	19	18	20	21	33	14	20	22	25	31	13	9	30	27	20	32	146	197	135	191	150	175	138	150	171	244	185	250	195	227	204	214
GRMZM2G017752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0
GRMZM2G180082	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	10	7	5	7	4	4	2	1	8	6	4	7	6	5	10	2
AC187800.4_FG003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G147867	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	3	2	2	1	1	0	2	3	2	4	2	2	2	3	1
GRMZM2G141480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	1	0	0	1	0	0	0	0	1	0
